사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-05,1호선,1,서울역,"946,183","897,343","163,786","154,726"
2021-05,1호선,10,동묘앞,"126,710","136,309","150,560","150,934"
2021-05,1호선,2,시청,"440,379","453,384","59,890","59,338"
2021-05,1호선,3,종각,"724,544","698,575","109,300","103,087"
2021-05,1호선,4,종로3가,"421,121","380,881","252,206","237,053"
2021-05,1호선,5,종로5가,"346,088","352,926","235,580","226,289"
2021-05,1호선,6,동대문,"214,963","205,512","112,191","110,832"
2021-05,1호선,7,신설동,"252,769","247,750","102,317","98,544"
2021-05,1호선,8,제기동,"219,868","213,379","235,124","250,508"
2021-05,1호선,9,청량리(서울시립대입구),"312,638","310,978","239,335","241,248"
2021-05,2호선,11,시청,"471,909","447,702","41,414","36,955"
2021-05,2호선,12,을지로입구,"822,016","838,043","76,740","71,852"
2021-05,2호선,13,을지로3가,"448,716","445,179","63,127","61,570"
2021-05,2호선,14,을지로4가,"230,129","230,765","72,918","71,772"
2021-05,2호선,15,동대문역사문화공원(DDP),"266,470","299,636","47,040","50,046"
2021-05,2호선,16,신당,"282,798","293,680","85,177","86,785"
2021-05,2호선,17,상왕십리,"306,489","292,836","59,108","59,618"
2021-05,2호선,18,왕십리(성동구청),"385,390","316,983","44,742","37,638"
2021-05,2호선,19,한양대,"182,745","194,752","10,535","10,909"
2021-05,2호선,20,뚝섬,"513,369","546,484","49,779","50,273"
2021-05,2호선,21,성수,"754,643","840,594","88,404","90,205"
2021-05,2호선,22,건대입구,"900,465","951,583","76,874","80,300"
2021-05,2호선,23,구의(광진구청),"512,426","502,276","87,333","89,521"
2021-05,2호선,24,강변(동서울터미널),"735,078","721,995","98,057","95,635"
2021-05,2호선,25,잠실나루,"284,154","276,227","67,239","67,466"
2021-05,2호선,26,잠실(송파구청),"1,649,045","1,624,157","152,476","146,006"
2021-05,2호선,27,잠실새내,"464,407","468,729","84,351","84,320"
2021-05,2호선,28,종합운동장,"172,061","189,368","34,371","35,561"
2021-05,2호선,29,삼성(무역센터),"1,141,998","1,162,891","92,305","85,986"
2021-05,2호선,30,선릉,"1,097,202","981,774","178,796","159,524"
