날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-01-01,108,-4.2,-9.8,1.6
2021-01-02,108,-5,-8.4,-1.4
2021-01-03,108,-5.6,-9.1,-2
2021-01-04,108,-3.5,-8.4,0.3
2021-01-05,108,-5.5,-9.9,-2.1
2021-01-06,108,-7.4,-12,-1.9
2021-01-07,108,-14.5,-16.5,-8.4
2021-01-08,108,-14.9,-18.6,-10.7
2021-01-09,108,-12.2,-16.6,-7.5
2021-01-10,108,-7.7,-12.8,-2.7
2021-01-11,108,-6.7,-9.6,-4
2021-01-12,108,-3.9,-9.3,-0.5
2021-01-13,108,2,-3,8.3
2021-01-14,108,1.7,-3.6,7
2021-01-15,108,4.5,-0.7,9.9
2021-01-16,108,-4.9,-8.7,-0.7
2021-01-17,108,-5.5,-10.8,-1.3
2021-01-18,108,-3.8,-9.1,0.2
2021-01-19,108,-6.3,-11.6,-0.2
2021-01-20,108,-0.1,-6.6,7.1
2021-01-21,108,4.5,2.5,7
2021-01-22,108,5.5,4.8,6.6
2021-01-23,108,7.6,4.8,12.2
2021-01-24,108,7.3,2.4,13.9
2021-01-25,108,7.9,3,13.9
2021-01-26,108,5.3,1.7,7.4
2021-01-27,108,1.7,-1.8,6.5
2021-01-28,108,-2.6,-9.7,1.4
2021-01-29,108,-8.8,-11.6,-4.9
2021-01-30,108,-1.6,-8.1,5.2
2021-01-31,108,3.2,-3.8,8.7
2021-02-01,108,5,-2.3,9.5
2021-02-02,108,-5.6,-8.2,-2.4
2021-02-03,108,-3.2,-9.4,1.4
2021-02-04,108,-3.6,-7.4,0.7
2021-02-05,108,1.4,-4.4,6.7
2021-02-06,108,6.8,4.3,9.5
2021-02-07,108,3.6,-2.6,7.7
2021-02-08,108,-3.1,-5.4,0.2
2021-02-09,108,-0.9,-6.1,4.7
2021-02-10,108,3.4,-1.5,7.2
2021-02-11,108,5.5,1.3,10.9
2021-02-12,108,6.5,0.6,14
2021-02-13,108,7.6,1,15.9
2021-02-14,108,9.5,6.4,13.8
2021-02-15,108,1.2,-5.2,8.2
2021-02-16,108,-5.1,-7,-1.3
2021-02-17,108,-8.3,-10.4,-5.2
2021-02-18,108,-5.8,-10.6,-0.4
2021-02-19,108,1.6,-7.1,8.9
2021-02-20,108,8.8,5.5,14.9
2021-02-21,108,10.8,4.7,17.4
2021-02-22,108,7.8,0.4,12.6
2021-02-23,108,0,-3.1,4.3
2021-02-24,108,2.9,-3,10.1
2021-02-25,108,4.2,0.7,8.2
2021-02-26,108,8.2,0.5,15.8
2021-02-27,108,9.5,4.3,16.2
2021-02-28,108,7.8,3.2,10.8
2021-03-01,108,4.7,0.5,9
2021-03-02,108,2.3,0.2,6.9
2021-03-03,108,4.4,-1.2,9.9
2021-03-04,108,7.2,2.5,13
2021-03-05,108,9,3,16.2
2021-03-06,108,6.6,3.2,11.6
2021-03-07,108,6.2,2.1,12.2
2021-03-08,108,7,1.5,13.9
2021-03-09,108,6.6,2.1,12.2
2021-03-10,108,8.8,1.7,17.1
2021-03-11,108,10.2,4.7,17.1
2021-03-12,108,10.5,7.2,14.9
2021-03-13,108,9.2,4.6,14.2
2021-03-14,108,9.1,4.9,14.7
2021-03-15,108,10.6,5.1,15.7
2021-03-16,108,8.4,4.9,13.1
2021-03-17,108,8.8,1.8,17.5
2021-03-18,108,11.7,5,18.4
2021-03-19,108,15.3,11.4,20.2
2021-03-20,108,9.9,7.4,14.7
2021-03-21,108,5.8,3.1,8.6
2021-03-22,108,6.2,1.1,11.1
2021-03-23,108,9.1,2.5,16.4
2021-03-24,108,10.8,5.7,16.9
2021-03-25,108,11.9,6.8,19
2021-03-26,108,12.6,4.8,20.6
2021-03-27,108,12.1,10.2,15
2021-03-28,108,9,7.7,13
2021-03-29,108,10.2,7.3,14.6
2021-03-30,108,10.8,4.1,18.2
2021-03-31,108,14.5,5.9,22.9
2021-04-01,108,17.7,12,24
2021-04-02,108,17.8,12.5,23
2021-04-03,108,14.9,10.9,18
2021-04-04,108,11.9,9,15.8
2021-04-05,108,11.9,5.4,19.3
2021-04-06,108,13.9,9.4,19.2
2021-04-07,108,14.1,8.1,20.4
2021-04-08,108,13,7.2,18
2021-04-09,108,13.6,7.6,19.6
2021-04-10,108,12.6,7.7,18.8
2021-04-11,108,15,7.5,21.8
2021-04-12,108,13.8,11.9,17.8
2021-04-13,108,10.4,5.7,13.5
2021-04-14,108,8.4,3.1,13.3
2021-04-15,108,11.6,6.3,18.3
2021-04-16,108,11.3,8.1,14.8
2021-04-17,108,9.6,6,14.6
2021-04-18,108,9.9,5.6,15.3
2021-04-19,108,12.2,5.8,19.4
2021-04-20,108,14.8,8.1,22
2021-04-21,108,19.1,10.3,28.2
2021-04-22,108,20.9,16.1,27.5
2021-04-23,108,19,17,21.7
2021-04-24,108,18.3,15.3,22.2
2021-04-25,108,18.2,12.6,24
2021-04-26,108,16.2,12.3,20.6
2021-04-27,108,15.4,12.5,20
2021-04-28,108,14.5,11.2,18.2
2021-04-29,108,14.6,10.9,20.1
2021-04-30,108,11.3,8.6,14.6
2021-05-01,108,10.2,8.5,15.3
2021-05-02,108,12.4,7.3,18.7
2021-05-03,108,14.1,8.4,20.3
2021-05-04,108,13.8,11.4,15.8
2021-05-05,108,13.9,10.3,18.4
2021-05-06,108,15.7,7.9,23.1
2021-05-07,108,14.4,10.7,17.2
2021-05-08,108,14.3,8.9,21
2021-05-09,108,15.7,10,21.8
2021-05-10,108,13.2,11.7,14.6
2021-05-11,108,18.5,9.4,25.7
2021-05-12,108,22,16.9,27.7
2021-05-13,108,22.9,16.6,29.6
2021-05-14,108,24.1,18,30.8
2021-05-15,108,22.1,20.8,26.2
2021-05-16,108,18.4,14.8,20.8
2021-05-17,108,15.3,14.2,16.7
2021-05-18,108,17.9,13.6,24.5
2021-05-19,108,19.9,12.4,26.6
2021-05-20,108,18.7,15.6,22.9
2021-05-21,108,16,14.2,18.2
2021-05-22,108,18.6,13.8,23.8
2021-05-23,108,19.5,14.3,25.1
2021-05-24,108,19.4,16.4,24.5
